host	source_path	source_sha256	kind	classification	disposition	destination	destination_sha256	transform
spark1-ts	/home/jjlink/inference/benchmarks/benchmark-dashboard.html	05b184914f750f6db4b11e028d9750d90b13b36d226af8bc7f9a131be4475675	generated-file	generated	generated-ignore	-	-	generated-file
spark1-ts	/home/jjlink/inference/benchmarks/results	-	excluded-root	generated-ignore	generated-ignore	-	-	excluded-root
spark1-ts	/home/jjlink/inference/benchmarks/serve-dashboard.sh	6a1506476f276414fe3b7eed25db2c02d6037eab3fcf0d9232832614fe452953	source-file	workspace-source	wsl-wins	benchmarks/serve-dashboard.sh	0d965850b953d42ea1599e079241295a1d1aa32008924e7d6400a582cbdd0b8f	confirmed-wsl-conflict
spark1-ts	/home/jjlink/inference/benchmarks/vllm_dflash_tune_gemma4_spark.sh	eb88ca8dd167522d4f03ebc556162bd11567214beb6a1f3812ea20ffba6a70b9	source-file	workspace-source	import	benchmarks/vllm_dflash_tune_gemma4_spark.sh	eb88ca8dd167522d4f03ebc556162bd11567214beb6a1f3812ea20ffba6a70b9	identity-copy
spark1-ts	/home/jjlink/inference/benchmarks/vllm_spec_tune_local.sh	43607b309a6dabf638b45c88813140fd129ca32331b18df7d23a82696e6acf0f	source-file	workspace-source	wsl-wins	benchmarks/vllm_spec_tune_local.sh	bc08a8cc2df1a6bf2be47f4a0e985144b2c8760a110d59d0a0670056079cf29e	confirmed-wsl-conflict
spark1-ts	/home/jjlink/inference/experiments/qwen36-27b-hybrid-depth-study	-	excluded-root	generated-ignore	generated-ignore	-	-	excluded-root
spark1-ts	/home/jjlink/inference/experiments/qwen36-27b-hybrid-depth-study/run_depth_candidate.py	83de90b9d8e47f9a249b8bd60b83e1c82e27e53aa9ce864e454382ed68a69065	source-file	workspace-source	wsl-wins	experiments/qwen36-27b-hybrid-depth-study/run_depth_candidate.py	04c666a8470831461d477cd62724e16f6f7283b6029af6e47fc5c7dced402f2e	confirmed-wsl-conflict
spark1-ts	/home/jjlink/inference/experiments/qwen36-27b-hybrid-depth-study/run_omp_candidate.py	2e3cac18499bdcdac11b42dd0bb3a7ecd11e6cb8c34337ff2f2b5dcb59ec1365	source-file	workspace-source	merge	experiments/qwen36-27b-hybrid-depth-study/run_omp_candidate.py	2e3cac18499bdcdac11b42dd0bb3a7ecd11e6cb8c34337ff2f2b5dcb59ec1365	identical-source
spark1-ts	/home/jjlink/inference/experiments/qwen36-27b-hybrid-depth-study/run_thinkingcap_spec_sweep.py	d847581f9282ce9ab292467667420997f7f4c084ea34e9b7862e63fe0090b65e	source-file	workspace-source	merge	experiments/qwen36-27b-hybrid-depth-study/run_thinkingcap_spec_sweep.py	d847581f9282ce9ab292467667420997f7f4c084ea34e9b7862e63fe0090b65e	identical-source
spark1-ts	/home/jjlink/inference/experiments/thinkingcap-spec-sweep-20260720	-	excluded-root	generated-ignore	generated-ignore	-	-	excluded-root
spark1-ts	/home/jjlink/inference/run_vllm_docker.sh	25b67a9cbb0ff23a67c3e3c75ac26def07bae692d4055c791123413a530fce26	source-file	workspace-source	merge	runtime/spark/source/original-run_vllm_docker.sh	25b67a9cbb0ff23a67c3e3c75ac26def07bae692d4055c791123413a530fce26	identity-copy
spark1-ts	/home/jjlink/inference/serve.sh	0327ba52303309387c5dd1559067a70e39a6c7888e2a110a09734a3fadc2b9c4	source-file	workspace-source	import	migration/originals/spark1-ts/serve.sh	0327ba52303309387c5dd1559067a70e39a6c7888e2a110a09734a3fadc2b9c4	identity-copy
spark1-ts	/home/jjlink/inference/serve/vllm/serve_gemma4_31b_nvfp4.sh	ab38bc34fe517e73bfd3a1abc1d2068f1455df8532e329235407ac2b285f74e4	source-file	workspace-source	merge	serve/vllm/spark/melcheikh_gemma4_31b_it_qat_nvfp4_blackwell/source/spark1-frontdoor.sh	ab38bc34fe517e73bfd3a1abc1d2068f1455df8532e329235407ac2b285f74e4	identity-copy
spark1-ts	/home/jjlink/inference/serve/vllm/serve_poolside_laguna_s_2_1_nvfp4_dflash.sh	654da961a70a535bc65c998c30c31c6460f414fd025ccb0ed7d09e9466ee3f1b	source-file	workspace-source	merge	serve/vllm/spark/poolside_laguna_s_2_1_nvfp4_dflash/source/spark1-frontdoor.sh	654da961a70a535bc65c998c30c31c6460f414fd025ccb0ed7d09e9466ee3f1b	identity-copy
spark1-ts	/home/jjlink/inference/serve/vllm/serve_qwen36_35b_a3b_nvfp4_mtp3.sh	085b8cfa18e06baa32a622d2c596bfd0abc97ba03f342f68ce4377f8eeaf206e	source-file	workspace-source	merge	serve/vllm/spark/unsloth_qwen36_35b_a3b_nvfp4_fast_mtp3/source/spark1-frontdoor.sh	085b8cfa18e06baa32a622d2c596bfd0abc97ba03f342f68ce4377f8eeaf206e	identity-copy
spark1-ts	/home/jjlink/inference/setup_laguna_s_2_1_nvfp4.sh	c38a6a3f464103a83d18312440bf07da2fc7d97b4dbf855e6d46ced8c59308ba	source-file	workspace-source	merge	serve/vllm/spark/poolside_laguna_s_2_1_nvfp4_dflash/source/setup_laguna.sh	c38a6a3f464103a83d18312440bf07da2fc7d97b4dbf855e6d46ced8c59308ba	identity-copy
spark1-ts	/home/jjlink/inference/sglang/Gemma-4-31B-IT-NVFP4-DFlash/dflash-tune-extended-20260612-212756.tsv	18f19c41b5c1631083d4ee2a775e93a4220ddaa5830425b28abdc5e68782b32d	generated-file	generated	generated-ignore	-	-	generated-tuning-result
spark1-ts	/home/jjlink/inference/sglang/Gemma-4-31B-IT-NVFP4-DFlash/dflash-tune-extended-20260612-214542.tsv	5a5dacf5cadea062ccea40e22a484d5854e531c7665ecb0722be7869d9e644fb	generated-file	generated	generated-ignore	-	-	generated-tuning-result
spark1-ts	/home/jjlink/inference/sglang/Gemma-4-31B-IT-NVFP4-DFlash/docker-compose.yml	a73fb727850f25f91c0d84def6adce304ef5f3be5a9e60fb0b46121e289a1b1e	source-file	workspace-source	merge	serve/sglang/spark/nvidia_gemma4_31b_it_nvfp4_dflash/source/variants/spark1-ts/Gemma-4-31B-IT-NVFP4-DFlash/docker-compose.yml	a73fb727850f25f91c0d84def6adce304ef5f3be5a9e60fb0b46121e289a1b1e	identity-copy
spark1-ts	/home/jjlink/inference/sglang/Gemma-4-31B-IT-NVFP4-DFlash/docker-compose.yml.new	f53846eb25c0b8a34ebb44a807b1e68f38fa29438d6941531a790ec21ac7b1dd	source-file	workspace-source	archive-only	-	-	secret-or-obsolete-local-variant
spark1-ts	/home/jjlink/inference/sglang/Gemma-4-31B-IT-NVFP4-DFlash/tune-run.log	6936cdb38f2981e27f544718cce7920d9610d3b003039e552430fb82c80d4bb5	generated-file	generated	generated-ignore	-	-	generated-file
